company_id,company_name,industry,size,contract_value,date,quarter,year,deal_stage,renewal_probability,upsell_opportunity,active_users,feature_adoption_rate,custom_integrations,pending_feature_requests,ticket_volume,avg_resolution_time_hours,csat_score,sla_compliance_rate,health_score
COMP0025,Company 0025,Manufacturing,Small,15868,2023-01-31,Q1,2023,Live,62,5000,87,0.67,3,1,45,30.9,4.2,0.96,74.7
COMP0026,Company 0026,Technology,Enterprise,62520,2023-02-02,Q1,2023,Live,90,5000,99,0.91,1,3,18,9.5,4.1,0.97,90.1
COMP0027,Company 0027,Healthcare,Medium,30586,2023-02-02,Q1,2023,Stable,88,20000,20,0.9,5,9,35,25.0,4.4,0.98,90.6
COMP0028,Company 0028,Technology,Enterprise,68425,2023-02-03,Q1,2023,At Risk,91,20000,22,0.76,5,1,18,34.7,3.8,0.82,81.7
COMP0029,Company 0029,Technology,Medium,71277,2023-02-05,Q1,2023,Live,68,15000,25,0.78,4,6,5,8.5,4.3,0.98,80.6
COMP0030,Company 0030,Technology,Small,24576,2023-02-08,Q1,2023,Stable,95,15000,36,0.61,4,10,30,34.5,3.8,0.88,79.6
COMP0031,Company 0031,Manufacturing,Enterprise,84898,2023-02-08,Q1,2023,Live,71,5000,62,0.57,1,4,42,7.5,3.7,0.88,70.8
COMP0032,Company 0032,Technology,Enterprise,48736,2023-02-08,Q1,2023,At Risk,81,20000,48,0.79,4,0,42,43.5,4.7,0.87,84.2
COMP0033,Company 0033,Manufacturing,Enterprise,19371,2023-02-10,Q1,2023,Implementation,98,0,95,0.45,1,4,15,42.5,3.6,1.0,77.3
COMP0034,Company 0034,Manufacturing,Enterprise,58236,2023-02-10,Q1,2023,Implementation,79,0,9,0.86,0,8,11,42.1,4.7,0.86,85.5
COMP0035,Company 0035,Manufacturing,Small,42252,2023-02-11,Q1,2023,At Risk,75,20000,15,0.79,0,1,45,23.0,3.8,0.99,81.2
COMP0036,Company 0036,Healthcare,Medium,99624,2023-02-13,Q1,2023,Live,93,20000,52,0.75,3,7,15,43.3,4.8,0.89,87.4
COMP0037,Company 0037,Manufacturing,Enterprise,17006,2023-02-13,Q1,2023,Live,76,5000,71,0.66,0,7,39,32.3,4.9,0.91,80.4
COMP0038,Company 0038,Finance,Medium,83619,2023-02-16,Q1,2023,At Risk,77,5000,43,0.66,1,0,25,37.6,4.1,0.96,78.5
COMP0039,Company 0039,Finance,Small,40235,2023-02-19,Q1,2023,Implementation,70,0,76,0.87,1,5,40,34.9,3.6,0.93,80.1
COMP0040,Company 0040,Healthcare,Small,28990,2023-02-22,Q1,2023,Stable,89,20000,43,0.94,3,9,10,39.1,3.7,0.91,87.9
COMP0041,Company 0041,Retail,Medium,96577,2023-02-25,Q1,2023,At Risk,90,5000,95,0.86,2,2,50,44.7,4.8,0.92,90.4
COMP0042,Company 0042,Technology,Enterprise,88452,2023-02-26,Q1,2023,Implementation,74,15000,6,0.7,3,7,40,14.2,4.6,0.89,79.4
COMP0043,Company 0043,Retail,Small,91634,2023-02-27,Q1,2023,At Risk,69,15000,62,0.74,0,1,43,45.1,4.9,0.95,81.5
COMP0044,Company 0044,Manufacturing,Small,39559,2023-02-28,Q1,2023,Implementation,74,0,84,0.73,3,6,21,21.8,4.0,0.9,78.1
COMP0045,Company 0045,Manufacturing,Enterprise,95895,2023-03-01,Q1,2023,Live,64,0,68,0.44,5,10,8,36.0,4.1,0.83,65.4
COMP0046,Company 0046,Finance,Enterprise,75102,2023-03-01,Q1,2023,Stable,98,20000,26,0.74,3,7,33,7.1,3.7,0.87,83.8
COMP0047,Company 0047,Manufacturing,Enterprise,36765,2023-03-04,Q1,2023,Stable,86,10000,63,0.88,4,8,8,33.2,4.4,0.85,86.8
COMP0048,Company 0048,Finance,Medium,82365,2023-03-06,Q1,2023,Stable,83,5000,75,0.51,1,2,46,42.9,4.1,0.91,74.8
COMP0049,Company 0049,Technology,Enterprise,20190,2023-03-09,Q1,2023,Live,75,5000,37,0.57,5,6,42,44.9,4.9,0.84,76.0
COMP0050,Company 0050,Technology,Enterprise,19972,2023-03-09,Q1,2023,Implementation,92,20000,96,0.66,0,3,17,44.8,3.9,0.92,81.4
COMP0051,Company 0051,Technology,Small,47761,2023-03-09,Q1,2023,At Risk,85,15000,19,0.87,1,5,12,27.3,4.2,0.83,85.0
COMP0052,Company 0052,Manufacturing,Small,28323,2023-03-12,Q1,2023,At Risk,72,20000,30,0.65,3,10,23,1.2,3.5,0.97,74.5
COMP0053,Company 0053,Healthcare,Small,34106,2023-03-15,Q1,2023,Implementation,93,0,67,0.9,3,9,43,39.9,4.0,0.96,90.1
COMP0054,Company 0054,Retail,Small,54033,2023-03-15,Q1,2023,Implementation,85,15000,66,0.86,5,10,15,8.3,3.7,0.84,82.9
COMP0055,Company 0055,Technology,Enterprise,83520,2023-03-17,Q1,2023,Implementation,91,10000,46,0.4,5,6,23,37.8,4.6,0.93,76.3
COMP0056,Company 0056,Healthcare,Small,22176,2023-03-18,Q1,2023,At Risk,83,0,23,0.49,1,7,42,7.0,3.9,0.98,74.8
COMP0057,Company 0057,Finance,Enterprise,67597,2023-03-19,Q1,2023,At Risk,82,10000,78,0.5,4,6,46,22.3,4.7,0.99,78.2
COMP0058,Company 0058,Retail,Medium,99078,2023-03-21,Q1,2023,Stable,87,5000,18,0.52,0,10,33,26.3,3.6,0.88,73.7
COMP0059,Company 0059,Technology,Enterprise,75687,2023-03-24,Q1,2023,At Risk,61,20000,37,0.8,2,6,14,35.7,4.7,0.88,78.7
COMP0060,Company 0060,Healthcare,Small,79426,2023-03-24,Q1,2023,Live,78,20000,43,0.57,1,3,12,39.3,3.8,0.89,73.5
COMP0061,Company 0061,Technology,Small,66983,2023-03-27,Q1,2023,At Risk,85,15000,79,0.6,3,0,41,17.0,4.8,0.91,80.9
COMP0062,Company 0062,Healthcare,Enterprise,53777,2023-03-28,Q1,2023,Implementation,84,5000,98,0.6,2,5,32,28.8,4.9,0.82,79.2
COMP0063,Company 0063,Manufacturing,Enterprise,27983,2023-03-31,Q1,2023,Live,65,20000,37,0.93,2,6,20,7.3,3.6,0.85,78.8
COMP0064,Company 0064,Technology,Medium,87483,2023-03-31,Q1,2023,Stable,85,10000,58,0.63,1,9,13,1.9,3.7,0.96,78.4
COMP0065,Company 0065,Technology,Enterprise,34806,2023-04-03,Q2,2023,Stable,66,0,49,0.73,1,10,31,15.5,4.0,0.95,76.7
COMP0066,Company 0066,Healthcare,Enterprise,76176,2023-04-04,Q2,2023,Stable,88,0,65,0.69,2,4,16,3.5,4.3,0.93,82.9
COMP0067,Company 0067,Technology,Medium,42255,2023-04-05,Q2,2023,Implementation,96,10000,14,0.42,5,5,49,39.8,4.1,0.85,74.8
COMP0068,Company 0068,Finance,Enterprise,93090,2023-04-08,Q2,2023,Stable,91,15000,67,0.95,4,2,19,46.0,4.3,0.82,89.4
COMP0069,Company 0069,Manufacturing,Medium,47302,2023-04-09,Q2,2023,Live,69,20000,44,0.93,4,8,44,45.9,4.7,0.85,84.4
COMP0070,Company 0070,Healthcare,Medium,89679,2023-04-09,Q2,2023,Stable,62,5000,49,0.42,5,2,37,20.2,4.1,0.98,67.2
COMP0071,Company 0071,Technology,Medium,44761,2023-04-12,Q2,2023,Stable,100,20000,49,0.46,3,9,9,26.7,4.7,0.84,79.4
COMP0072,Company 0072,Manufacturing,Enterprise,40703,2023-04-12,Q2,2023,Stable,67,15000,74,0.64,5,9,31,29.5,4.3,0.81,72.7
COMP0073,Company 0073,Technology,Enterprise,87749,2023-04-12,Q2,2023,Implementation,94,20000,34,0.56,2,1,47,46.6,4.1,0.83,78.0
COMP0074,Company 0074,Retail,Small,25124,2023-04-14,Q2,2023,Live,92,10000,77,0.52,4,5,11,20.4,3.7,0.99,77.8
COMP0075,Company 0075,Retail,Medium,18369,2023-04-15,Q2,2023,Live,80,5000,88,0.74,4,6,23,47.7,4.7,0.88,82.6
COMP0076,Company 0076,Technology,Enterprise,84794,2023-04-17,Q2,2023,At Risk,97,20000,77,0.77,1,6,19,17.1,4.5,0.88,87.8
COMP0077,Company 0077,Technology,Medium,18472,2023-04-18,Q2,2023,At Risk,85,5000,91,0.53,2,2,8,38.0,4.8,0.9,78.6
COMP0078,Company 0078,Healthcare,Small,35973,2023-04-21,Q2,2023,Stable,90,10000,65,0.84,2,10,12,43.9,4.6,0.91,88.8
COMP0079,Company 0079,Healthcare,Small,42410,2023-04-24,Q2,2023,Implementation,64,15000,61,0.88,2,4,37,40.6,4.4,0.92,81.6
COMP0080,Company 0080,Retail,Medium,22372,2023-04-27,Q2,2023,Live,94,15000,79,0.59,1,1,30,20.9,5.0,0.98,85.5
COMP0081,Company 0081,Manufacturing,Enterprise,78270,2023-04-28,Q2,2023,At Risk,71,5000,5,0.82,0,1,50,32.1,4.7,0.99,84.5
COMP0082,Company 0082,Finance,Small,51069,2023-04-30,Q2,2023,Live,75,15000,8,0.77,4,4,30,42.9,4.9,0.99,85.0
COMP0083,Company 0083,Retail,Enterprise,23222,2023-05-02,Q2,2023,At Risk,83,20000,91,0.63,4,7,28,47.7,4.4,0.97,80.8
COMP0084,Company 0084,Healthcare,Enterprise,88159,2023-05-03,Q2,2023,Live,60,10000,29,0.67,3,6,36,2.7,4.4,0.98,75.3
COMP0085,Company 0085,Manufacturing,Small,40371,2023-05-03,Q2,2023,Live,92,10000,39,0.84,3,5,47,29.0,4.2,0.84,86.4
COMP0086,Company 0086,Healthcare,Small,32901,2023-05-06,Q2,2023,Stable,72,15000,35,0.73,5,7,25,27.0,4.7,0.8,78.3
COMP0087,Company 0087,Healthcare,Medium,74847,2023-05-09,Q2,2023,At Risk,68,20000,94,0.41,4,9,47,36.6,4.3,0.91,68.1
COMP0088,Company 0088,Healthcare,Medium,38842,2023-05-09,Q2,2023,Implementation,91,20000,87,0.85,2,9,26,37.3,3.9,0.91,86.6
COMP0089,Company 0089,Technology,Medium,34628,2023-05-12,Q2,2023,At Risk,87,10000,28,0.8,0,1,17,17.1,4.6,0.87,85.9
COMP0090,Company 0090,Healthcare,Small,42138,2023-05-13,Q2,2023,Implementation,76,10000,85,0.87,0,6,25,7.6,4.6,0.89,85.1
COMP0091,Company 0091,Healthcare,Medium,37931,2023-05-14,Q2,2023,At Risk,75,10000,44,0.75,1,2,6,14.1,4.9,0.98,84.2
COMP0092,Company 0092,Technology,Small,88557,2023-05-16,Q2,2023,Implementation,60,10000,12,0.78,0,8,15,1.1,3.7,0.86,73.4
COMP0093,Company 0093,Retail,Medium,42130,2023-05-18,Q2,2023,At Risk,63,15000,79,0.92,3,10,35,31.6,5.0,0.82,82.9
COMP0094,Company 0094,Technology,Small,83004,2023-05-21,Q2,2023,Live,72,0,70,0.9,3,6,12,2.1,3.5,0.86,79.8
COMP0095,Company 0095,Finance,Small,95510,2023-05-22,Q2,2023,Live,89,10000,64,0.53,2,2,17,9.7,4.7,0.98,81.0
COMP0096,Company 0096,Manufacturing,Enterprise,61442,2023-05-24,Q2,2023,Stable,91,10000,46,0.76,1,10,6,7.3,4.1,0.99,86.3
COMP0097,Company 0097,Healthcare,Enterprise,35990,2023-05-26,Q2,2023,Live,78,10000,73,0.84,4,5,27,11.7,4.6,0.89,84.8
COMP0098,Company 0098,Finance,Small,49048,2023-05-27,Q2,2023,Live,83,10000,50,0.43,0,8,37,40.6,4.9,0.92,75.8
COMP0099,Company 0099,Retail,Medium,83127,2023-05-28,Q2,2023,Implementation,73,20000,70,0.93,5,0,12,15.9,4.1,0.85,83.2
COMP0100,Company 0100,Technology,Enterprise,90220,2023-05-29,Q2,2023,Live,73,20000,42,0.87,5,8,21,11.3,3.6,0.98,82.0
COMP0101,Company 0101,Technology,Small,83143,2023-06-01,Q2,2023,Stable,63,10000,29,0.76,0,6,29,18.0,3.5,0.98,75.3
COMP0102,Company 0102,Manufacturing,Medium,49981,2023-06-03,Q2,2023,Live,62,15000,81,0.8,5,6,18,30.7,3.7,0.83,74.0
COMP0103,Company 0103,Retail,Enterprise,49825,2023-06-03,Q2,2023,Stable,83,20000,96,0.52,2,5,19,13.7,4.2,0.95,76.3
COMP0104,Company 0104,Retail,Medium,75878,2023-06-03,Q2,2023,Implementation,71,5000,17,0.53,4,7,34,43.8,4.3,0.91,72.6
COMP0105,Company 0105,Finance,Medium,98713,2023-06-04,Q2,2023,Implementation,96,20000,37,0.9,1,0,32,27.0,4.9,0.89,93.2
COMP0106,Company 0106,Healthcare,Small,63498,2023-06-06,Q2,2023,At Risk,87,20000,21,0.76,2,5,10,24.8,3.8,0.97,83.5
COMP0107,Company 0107,Manufacturing,Medium,28606,2023-06-06,Q2,2023,At Risk,66,10000,43,0.82,4,10,50,1.4,3.8,0.96,78.8
COMP0108,Company 0108,Manufacturing,Enterprise,31766,2023-06-07,Q2,2023,Live,67,20000,33,0.66,1,4,29,45.7,3.5,0.94,72.7
COMP0109,Company 0109,Healthcare,Medium,49662,2023-06-10,Q2,2023,Stable,94,0,12,0.41,3,8,24,10.6,4.5,0.89,76.3
COMP0110,Company 0110,Manufacturing,Small,43584,2023-06-13,Q2,2023,At Risk,65,15000,99,0.72,0,7,40,28.4,4.0,0.98,76.7
COMP0111,Company 0111,Technology,Medium,88933,2023-06-15,Q2,2023,Live,62,0,85,0.91,2,1,26,18.1,3.7,0.88,78.3
COMP0112,Company 0112,Technology,Small,36365,2023-06-18,Q2,2023,Implementation,92,10000,74,0.47,4,7,30,46.5,3.9,0.95,76.3
COMP0113,Company 0113,Retail,Enterprise,55015,2023-06-18,Q2,2023,Implementation,91,20000,54,0.52,5,8,33,16.7,4.1,0.87,76.7
COMP0114,Company 0114,Technology,Small,21322,2023-06-18,Q2,2023,At Risk,92,10000,79,0.67,5,8,21,3.8,4.7,0.96,85.7
COMP0115,Company 0115,Finance,Medium,66586,2023-06-20,Q2,2023,Stable,62,5000,16,0.6,5,3,25,28.8,4.4,0.97,73.6
COMP0116,Company 0116,Finance,Enterprise,75693,2023-06-23,Q2,2023,Live,71,0,85,0.5,2,3,5,13.5,4.8,0.92,73.9
COMP0117,Company 0117,Finance,Enterprise,78974,2023-06-23,Q2,2023,Live,99,10000,35,0.88,2,5,38,37.4,3.9,0.84,88.5
COMP0118,Company 0118,Retail,Enterprise,22131,2023-06-25,Q2,2023,Live,60,20000,29,0.93,2,8,45,46.9,3.5,0.98,79.5
COMP0119,Company 0119,Manufacturing,Medium,32045,2023-06-27,Q2,2023,Stable,86,20000,25,0.87,0,8,48,40.0,4.7,0.99,90.5
COMP0120,Company 0120,Manufacturing,Medium,95396,2023-06-27,Q2,2023,Live,70,5000,33,0.48,5,3,31,34.6,4.7,0.96,73.4
COMP0121,Company 0121,Retail,Medium,13939,2023-06-27,Q2,2023,Stable,61,5000,23,0.88,2,4,7,19.0,3.6,0.87,76.5
COMP0122,Company 0122,Finance,Medium,57102,2023-06-28,Q2,2023,Implementation,93,0,98,0.56,5,1,20,30.2,4.9,0.99,84.1
COMP0123,Company 0123,Retail,Small,51047,2023-06-28,Q2,2023,At Risk,62,15000,15,0.44,0,2,11,21.3,4.3,0.85,66.0
COMP0124,Company 0124,Retail,Enterprise,27613,2023-07-01,Q3,2023,Implementation,77,0,27,0.74,4,4,13,20.9,4.6,0.95,82.7
COMP0125,Company 0125,Finance,Enterprise,66059,2023-07-03,Q3,2023,Implementation,70,15000,49,0.9,3,8,17,20.7,4.4,0.89,83.4
COMP0126,Company 0126,Technology,Medium,91367,2023-07-06,Q3,2023,Implementation,62,5000,50,0.53,4,7,29,3.3,4.4,0.96,71.3
COMP0127,Company 0127,Technology,Enterprise,94557,2023-07-07,Q3,2023,Stable,92,5000,70,0.86,2,10,30,20.5,3.6,0.83,84.4
COMP0128,Company 0128,Retail,Enterprise,92555,2023-07-08,Q3,2023,At Risk,93,20000,14,0.4,5,8,37,17.9,4.1,0.92,74.7
COMP0129,Company 0129,Healthcare,Small,64861,2023-07-09,Q3,2023,Live,84,15000,59,0.52,2,9,13,40.5,4.9,0.86,77.6
COMP0130,Company 0130,Manufacturing,Small,59394,2023-07-10,Q3,2023,Implementation,63,10000,23,0.87,4,3,12,38.2,4.9,0.92,83.0
COMP0131,Company 0131,Manufacturing,Medium,80960,2023-07-11,Q3,2023,At Risk,100,0,85,0.71,0,1,13,30.8,4.4,1.0,88.9
COMP0132,Company 0132,Technology,Medium,42097,2023-07-13,Q3,2023,Implementation,86,20000,23,0.71,2,3,11,29.8,3.7,0.97,81.3
COMP0133,Company 0133,Finance,Medium,39492,2023-07-16,Q3,2023,Stable,63,10000,88,0.86,3,7,33,36.6,4.6,0.88,80.7
COMP0134,Company 0134,Retail,Small,79703,2023-07-17,Q3,2023,Stable,97,5000,54,0.58,3,10,22,1.8,3.8,0.92,80.1
COMP0135,Company 0135,Manufacturing,Small,59819,2023-07-19,Q3,2023,At Risk,68,15000,21,0.67,4,9,34,29.9,4.3,0.83,74.3
COMP0136,Company 0136,Retail,Enterprise,88523,2023-07-22,Q3,2023,Stable,78,20000,84,0.45,4,2,31,3.3,4.6,1.0,75.3
COMP0137,Company 0137,Retail,Small,93613,2023-07-24,Q3,2023,Stable,97,15000,33,0.7,0,4,22,32.6,3.9,0.99,85.5
COMP0138,Company 0138,Healthcare,Medium,81909,2023-07-26,Q3,2023,Stable,88,15000,55,0.42,4,1,44,32.2,4.8,0.92,76.6
COMP0139,Company 0139,Healthcare,Medium,41605,2023-07-29,Q3,2023,Implementation,61,20000,90,0.64,3,5,9,16.7,5.0,0.85,74.5
COMP0140,Company 0140,Finance,Enterprise,76993,2023-07-30,Q3,2023,Live,73,0,17,0.5,3,2,42,24.8,3.7,0.84,68.5
COMP0141,Company 0141,Retail,Enterprise,50196,2023-08-01,Q3,2023,Live,93,0,7,0.47,0,6,39,33.8,4.1,0.87,75.8
COMP0142,Company 0142,Finance,Enterprise,24545,2023-08-04,Q3,2023,Live,86,15000,71,0.81,3,0,12,4.9,4.7,0.96,88.1
COMP0143,Company 0143,Finance,Small,32413,2023-08-06,Q3,2023,At Risk,80,10000,77,0.4,1,0,24,6.5,3.6,0.87,67.8
COMP0144,Company 0144,Manufacturing,Enterprise,32651,2023-08-09,Q3,2023,At Risk,88,0,74,0.7,2,8,8,2.4,4.2,0.82,80.6
COMP0145,Company 0145,Healthcare,Enterprise,70425,2023-08-09,Q3,2023,Stable,89,0,63,0.44,5,8,8,7.9,4.7,0.87,76.1
COMP0146,Company 0146,Manufacturing,Small,23240,2023-08-09,Q3,2023,Stable,92,5000,81,0.48,2,7,38,31.9,3.8,0.91,75.4
COMP0147,Company 0147,Technology,Enterprise,26555,2023-08-11,Q3,2023,Implementation,80,0,53,0.76,2,1,10,27.8,4.5,0.91,83.0
COMP0148,Company 0148,Manufacturing,Medium,16036,2023-08-11,Q3,2023,Stable,90,15000,45,0.83,4,1,7,43.4,5.0,0.88,89.5
COMP0149,Company 0149,Healthcare,Medium,40143,2023-08-14,Q3,2023,At Risk,92,20000,98,0.75,4,2,29,20.6,3.7,0.96,84.1
COMP0150,Company 0150,Finance,Medium,76784,2023-08-17,Q3,2023,Implementation,71,5000,97,0.5,5,4,41,27.8,4.9,0.94,74.7
COMP0151,Company 0151,Finance,Small,10802,2023-08-17,Q3,2023,Implementation,89,0,5,0.84,3,4,18,43.0,4.3,0.81,85.3
COMP0152,Company 0152,Finance,Enterprise,38828,2023-08-19,Q3,2023,At Risk,66,15000,99,0.75,2,1,47,29.8,4.5,0.93,78.9
COMP0153,Company 0153,Manufacturing,Small,62856,2023-08-20,Q3,2023,Live,89,5000,89,0.45,0,8,43,21.2,4.1,0.89,74.4
COMP0154,Company 0154,Finance,Small,19524,2023-08-23,Q3,2023,Implementation,73,20000,81,0.92,4,1,39,42.3,4.0,0.97,84.9
COMP0155,Company 0155,Finance,Small,64544,2023-08-24,Q3,2023,At Risk,66,15000,64,0.74,4,9,35,46.7,4.7,0.86,78.0
COMP0156,Company 0156,Healthcare,Small,45921,2023-08-25,Q3,2023,At Risk,68,20000,77,0.67,5,5,18,11.8,4.7,0.95,78.3
COMP0157,Company 0157,Retail,Medium,73944,2023-08-28,Q3,2023,Stable,100,20000,95,0.71,3,4,32,33.5,4.3,0.85,85.5
COMP0158,Company 0158,Finance,Medium,74107,2023-08-28,Q3,2023,Implementation,83,15000,31,0.75,4,4,9,20.0,3.8,0.87,80.0
COMP0159,Company 0159,Manufacturing,Medium,99243,2023-08-28,Q3,2023,Live,71,15000,23,0.56,3,0,22,31.4,3.9,0.86,70.9
COMP0160,Company 0160,Manufacturing,Medium,14141,2023-08-29,Q3,2023,Live,92,5000,83,0.46,1,8,27,5.8,4.5,0.99,79.2
COMP0161,Company 0161,Manufacturing,Medium,56873,2023-08-30,Q3,2023,At Risk,61,5000,93,0.62,2,0,45,6.2,4.7,0.91,73.9
COMP0162,Company 0162,Healthcare,Medium,41465,2023-09-02,Q3,2023,Stable,93,5000,79,0.73,2,8,50,39.8,4.5,0.87,85.2
COMP0163,Company 0163,Manufacturing,Medium,99409,2023-09-04,Q3,2023,Implementation,80,5000,80,0.87,3,3,43,28.6,3.9,0.95,84.7
COMP0164,Company 0164,Manufacturing,Enterprise,42196,2023-09-05,Q3,2023,Stable,65,20000,15,0.64,3,10,29,3.2,3.7,0.86,70.7
COMP0165,Company 0165,Finance,Medium,20213,2023-09-07,Q3,2023,Stable,67,0,59,0.51,4,2,40,28.9,3.5,0.89,67.2
COMP0166,Company 0166,Healthcare,Medium,16767,2023-09-08,Q3,2023,Implementation,97,5000,15,0.77,4,10,40,15.4,4.1,0.84,85.4
COMP0167,Company 0167,Finance,Enterprise,81124,2023-09-10,Q3,2023,At Risk,97,5000,56,0.75,2,3,10,25.7,3.7,0.97,85.8
COMP0168,Company 0168,Retail,Medium,93287,2023-09-13,Q3,2023,Stable,83,20000,42,0.5,0,3,48,43.7,4.6,0.87,75.7
COMP0169,Company 0169,Retail,Small,23062,2023-09-14,Q3,2023,Stable,86,15000,94,0.56,4,3,14,6.7,4.8,0.84,78.6
COMP0170,Company 0170,Retail,Medium,72589,2023-09-17,Q3,2023,Implementation,69,5000,83,0.81,0,9,23,10.6,4.7,0.97,83.2
COMP0171,Company 0171,Healthcare,Enterprise,88885,2023-09-18,Q3,2023,Stable,87,15000,69,0.9,4,5,45,47.7,4.1,0.97,88.9
COMP0172,Company 0172,Healthcare,Medium,59787,2023-09-20,Q3,2023,At Risk,84,5000,63,0.54,5,8,11,44.7,4.0,0.93,76.0
COMP0173,Company 0173,Healthcare,Small,89730,2023-09-23,Q3,2023,Live,67,10000,79,0.49,2,10,14,10.6,4.8,0.91,72.2
COMP0174,Company 0174,Finance,Medium,27883,2023-09-25,Q3,2023,Live,86,10000,21,0.65,3,6,44,47.8,4.3,0.9,80.5
COMP0175,Company 0175,Manufacturing,Medium,12759,2023-09-26,Q3,2023,Live,61,20000,91,0.67,4,10,50,43.8,4.8,0.9,75.6
COMP0176,Company 0176,Healthcare,Enterprise,23431,2023-09-29,Q3,2023,At Risk,95,10000,27,0.58,2,7,46,33.3,3.6,0.94,79.1
COMP0177,Company 0177,Healthcare,Medium,42962,2023-09-30,Q3,2023,Implementation,70,15000,70,0.64,2,0,23,14.3,4.1,0.91,74.8
COMP0178,Company 0178,Technology,Small,46596,2023-10-01,Q4,2023,At Risk,81,5000,64,0.94,2,9,10,15.4,3.6,0.81,83.1
COMP0179,Company 0179,Manufacturing,Medium,90160,2023-10-02,Q4,2023,At Risk,72,0,52,0.88,0,7,20,46.1,4.3,0.91,83.4
COMP0180,Company 0180,Technology,Medium,34073,2023-10-02,Q4,2023,At Risk,85,5000,77,0.54,0,5,13,46.8,4.6,0.96,79.3
COMP0181,Company 0181,Manufacturing,Medium,68583,2023-10-04,Q4,2023,Stable,68,5000,86,0.46,1,4,7,10.8,3.5,0.92,66.6
